slug,target_keyword,path,intent,trends_status
"natural-language-search","Natural language video search","/features/guides/natural-language-search","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"cross-camera-search","Cross camera person and vehicle search","/features/guides/cross-camera-search","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"event-summaries","AI video event summaries","/features/guides/event-summaries","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"custom-text-alerts","AI CCTV custom alerts","/features/guides/custom-text-alerts","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"edge-ai","Edge AI CCTV camera","/features/guides/edge-ai","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"object-classification","Human and vehicle detection CCTV","/features/guides/object-classification","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"virtual-perimeter","AI CCTV intrusion detection","/features/guides/virtual-perimeter","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"loitering","CCTV loitering detection","/features/guides/loitering","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"number-plates","ANPR camera for Indian number plates","/features/guides/number-plates","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"ptz-tracking","AI auto tracking PTZ camera","/features/guides/ptz-tracking","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"people-counting","People counting camera for retail stores","/features/guides/people-counting","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"queue-analytics","CCTV queue management analytics","/features/guides/queue-analytics","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"tailgating","CCTV tailgating detection for access control","/features/guides/tailgating","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"ppe-detection","AI PPE detection camera","/features/guides/ppe-detection","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"onsite-learning","Custom object detection CCTV","/features/guides/onsite-learning","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"scene-change","AI CCTV scene change detection","/features/guides/scene-change","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"sound-classification","AI audio detection CCTV","/features/guides/sound-classification","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"privacy-masking","AI face privacy masking CCTV","/features/guides/privacy-masking","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"low-light-ai","AI CCTV camera night vision","/features/guides/low-light-ai","Informational / buyer evaluation","Unverified: Google Trends returned 429"
"smoke-flame","Video smoke and flame detection","/features/guides/smoke-flame","Informational / buyer evaluation","Unverified: Google Trends returned 429"
