id,official_name_as_published,region_state,approx_lat,approx_lng,published_route,page_status,has_premises_claim,delivery_mode_as_published,delivery_mode_conflict,nearby_verified_le_250km,other_cities,operational_verification,evidence_reference,demand_evidence
ludhiana,Ludhiana,Punjab,30.901,75.857,/ai-cctv-ludhiana,"published, indexable, in sitemap",yes (Ludhiana premises),own_team,,"Khanna (41 km); Mandi Gobindgarh (50 km); Jalandhar (54 km); Moga (66 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
jalandhar,Jalandhar,Punjab,31.326,75.576,/ai-cctv-jalandhar,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Ludhiana (54 km); Hoshiarpur (39 km); Amritsar (75 km); Batala (65 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
amritsar,Amritsar,Punjab,31.634,74.872,/ai-cctv-amritsar,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Batala (37 km); Jalandhar (75 km); Ludhiana (124 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
chandigarh-mohali,Chandigarh & Mohali,Punjab / Chandigarh,30.733,76.779,/ai-cctv-chandigarh-mohali,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Ludhiana (90 km); Patiala (58 km); Khanna (53 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
patiala,Patiala,Punjab,30.34,76.386,/ai-cctv-patiala,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Ludhiana (80 km); Khanna (44 km); Chandigarh & Mohali (58 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
bathinda,Bathinda,Punjab,30.211,74.945,/ai-cctv-bathinda,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Moga (71 km); Ludhiana (116 km); Khanna (134 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
mandi-gobindgarh,Mandi Gobindgarh,Punjab,30.667,76.3,/ai-cctv-mandi-gobindgarh,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Khanna (9 km); Ludhiana (50 km); Patiala (37 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
khanna,Khanna,Punjab,30.705,76.222,/ai-cctv-khanna,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Ludhiana (41 km); Mandi Gobindgarh (9 km); Patiala (44 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
moga,Moga,Punjab,30.817,75.171,/ai-cctv-moga,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Ludhiana (66 km); Bathinda (71 km); Jalandhar (68 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
hoshiarpur,Hoshiarpur,Punjab,31.532,75.911,/ai-cctv-hoshiarpur,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Jalandhar (39 km); Batala (74 km); Ludhiana (70 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
batala,Batala,Punjab,31.819,75.203,/ai-cctv-batala,"published, indexable, in sitemap",no,verified_partner (per city page),YES — /cctv-installation-company says own teams install here,"Amritsar (37 km); Jalandhar (65 km); Hoshiarpur (74 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
delhi-ncr,Delhi NCR,"Delhi, Haryana & Uttar Pradesh",28.614,77.209,/ai-cctv-delhi-ncr,"published, indexable, in sitemap",no,verified_partner (per city page),,"Gurugram (25 km); Noida (20 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
gurugram,Gurugram,Haryana,28.459,77.027,/ai-cctv-gurugram,"published, indexable, in sitemap",no,verified_partner (per city page),,"Delhi NCR (25 km); Noida (37 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
noida,Noida,Uttar Pradesh,28.535,77.391,/ai-cctv-noida,"published, indexable, in sitemap",no,verified_partner (per city page),,"Delhi NCR (20 km); Gurugram (37 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
mumbai,Mumbai,Maharashtra,19.076,72.878,/ai-cctv-mumbai,"published, indexable, in sitemap",no,verified_partner (per city page),,,"Delhi NCR; Bengaluru",OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
bengaluru,Bengaluru,Karnataka,12.972,77.595,/ai-cctv-bengaluru,"published, indexable, in sitemap",no,verified_partner (per city page),,Coimbatore (228 km),Mumbai,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
jaipur,Jaipur,Rajasthan,26.912,75.787,/ai-cctv-jaipur,"published, indexable, in sitemap",no,verified_partner (per city page),,"Delhi NCR (235 km); Gurugram (211 km)",,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
coimbatore,Coimbatore,Tamil Nadu,11.017,76.956,/ai-cctv-coimbatore,"published, indexable, in sitemap",no,verified_partner (per city page),,Bengaluru (228 km),Mumbai,OWNER_EVIDENCE_REQUIRED,none on file,ACCESS_BLOCKED (no PGAK GSC/GA4)
